"Names","Clubs","GP","GS","MP","FS","FC","YC","RC","OFF","C","CK","PKG","PK"
"Kovacic Mateo  M.","RMD",21,10,988,20,10,2,0,0,5,0,0,0
"Rodrigues Kevin  K.","RSO",20,18,1633,15,23,2,0,0,78,1,0,0
"Zurutuza ","RSO",31,26,2248,46,44,2,0,1,18,1,0,0
"Domenech Jaume  J.","VAL",5,5,450,1,0,2,0,0,0,0,0,0
"Medran Alvaro  A.","ALA",18,10,1014,15,21,2,0,2,20,4,0,0
"Cheryshev Denis  D.","VIL",24,9,920,15,21,2,0,5,42,0,0,0
"Leiva Nahuel  N.",NA,7,3,249,6,7,2,0,0,6,0,0,0
"Krohn-Dehli Michael  M.","DEP",24,15,1266,6,12,2,0,2,39,20,0,0
"N'Zonzi Steven  S.","SEV",27,26,2215,13,31,2,0,2,11,0,0,0
"Pareja Nico  N.","SEV",5,5,405,2,10,2,0,0,1,0,0,0
"Rico Sergio  S.","SEV",24,23,2155,3,1,2,0,0,0,0,0,0
"Vietto Luciano  L.","VAL",20,9,795,14,9,2,0,8,14,0,0,0
"Torres Fernando  F.","ATL",27,7,966,23,17,2,0,10,9,0,0,1
"El Zhar Nabil  N.","LGN",30,20,1981,35,31,2,0,6,83,11,0,0
"Garcia Samu  S.","MAG",18,4,358,6,22,2,1,1,7,0,0,0
"Moran Erik  E.",NA,6,2,225,0,3,2,0,0,2,0,0,0
"Tello Cristian  C.","BET",32,16,1684,20,15,2,0,10,30,4,0,0
"Chichizola Leandro  L.","LP",27,27,2430,6,0,2,0,0,1,0,0,0
"Olazabal Oier  O.","LEV",26,26,2340,5,1,2,0,0,0,0,0,0
"Baston Borja  B.","MAG",20,8,977,6,16,2,0,9,6,0,1,2
"Jason ","LEV",27,22,1792,29,30,2,0,5,71,13,0,0
"Tono ","LEV",12,12,1080,8,6,2,0,0,48,0,0,0
"Bounou Yassine  Y.","GIR",30,30,2655,1,1,2,0,0,1,0,0,0
"Garcia Borja  B.","GIR",37,34,2812,110,27,2,0,0,118,46,0,0
"Neto ","VAL",33,33,2970,4,0,2,0,0,1,0,0,0
"Toledo Hernan  H.","LP",15,6,617,10,8,2,0,3,30,0,0,0
"Lobotka Stanislav  S.","CEL",38,34,3061,46,42,2,0,0,14,0,0,0
"Shibasaki Gaku  G.","GET",22,12,1003,13,27,2,0,5,31,15,0,0
"Cecchini Emanuel  E.",NA,2,0,29,0,2,2,0,0,0,0,0,0
