"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"Pareja Nico  N.","SEV",27,27,2165,1,1,4,12,6,1
"Savic Stefan  S.","ATL",32,30,2727,1,0,1,4,6,0
"Hernandez Theo  T.","ALA",32,30,2725,1,3,9,26,11,1
"Partey Thomas  T.","ATL",16,6,629,1,2,4,9,5,0
"Tiago ","ATL",12,5,448,1,0,2,5,2,0
"Diaz Victor  V.","LGN",23,20,1811,1,1,6,15,6,0
"Mantovani ","LGN",31,30,2699,1,0,3,15,10,0
"Durmisi Riza  R.","BET",27,27,2387,1,4,5,25,4,0
"Pena Ruben  R.","EIB",28,9,1050,1,0,6,21,3,0
"Lejeune Florian  F.","EIB",34,33,2971,1,1,11,30,8,1
"Kiyotake Hiroshi  H.",NA,4,3,286,1,1,1,2,0,0
"Flano Miguel  M.","OSA",12,12,1035,1,0,2,5,3,0
"Garcia David  D.","OSA",25,23,2190,1,0,4,9,8,0
"Toquero Gaizka  G.","ALA",23,15,1227,1,1,5,9,4,0
"Berenguer Alex  A.","OSA",29,22,2118,1,6,7,17,3,0
"Olavide Miguel  M.","OSA",14,4,489,1,0,1,4,3,0
"Clerc Carlos  C.","OSA",25,22,1947,1,0,2,8,2,0
"Insua Pablo  P.","LGN",29,20,1902,1,0,3,7,3,0
"Machis Darwin  D.","LGN",27,10,1047,1,3,12,35,1,0
"Umtiti Samuel  S.","BAR",25,24,2133,1,0,2,6,4,0
"Causic Goran  G.","OSA",26,22,2007,1,2,4,14,4,0
"Lemos Alvaro  A.","CEL",5,5,439,1,0,1,3,2,0
"Gutierrez Felipe  F.",NA,14,9,754,1,0,3,9,2,0
"Merida Fran  F.","OSA",15,9,810,1,0,4,16,5,0
"Gil Carles  C.","DEP",23,16,1410,1,4,6,16,7,0
"Vesga Mikel  M.","GIJ",23,19,1694,1,1,3,14,7,0
"Rico Diego  D.","LGN",25,25,2222,1,0,4,16,6,0
"Brasanac Darko  D.","BET",25,19,1628,1,1,3,14,7,0
"En-Nesyri Youseff  Y.","MAG",13,0,325,1,1,7,15,2,0
