"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"Ontiveros Javi ",NA,12,1,380,0,0,3,8,4,0
"Peñaranda Adalberto ","MAG",13,11,807,0,0,6,21,3,0
"Ramírez Sandro ","SEV",13,7,715,0,1,10,24,0,0
"Ricca Federico ","MAG",14,13,1111,0,1,3,5,4,0
"Torres Miguel ","MAG",8,8,675,0,0,0,2,3,0
"Carvajal Dani ","RMD",25,25,2223,0,2,6,13,11,1
"Casilla Kiko ","RMD",10,10,900,0,0,0,0,0,0
"Kovacic Mateo ","RMD",21,10,988,0,1,2,9,2,0
"Navas Keylor ","RMD",27,27,2430,0,0,0,0,1,0
"Varane Raphael ","RMD",27,27,2323,0,1,2,10,3,0
"Zidane Enzo ",NA,2,1,71,0,0,0,0,0,0
"Zidane Luca ","RMD",1,1,90,0,0,0,0,0,0
"Agirretxe ","RSO",11,2,223,0,0,2,6,0,0
"Guridi Jon ","RSO",4,0,50,0,0,0,0,0,0
"Martínez Carlos ","RSO",1,0,2,0,0,0,0,0,0
"Navas Raúl ","RSO",20,20,1792,0,1,2,13,4,0
"Odriozola Álvaro ","RSO",35,32,2917,0,4,5,8,4,1
"Rulli Gerónimo ","RSO",26,26,2340,0,0,0,0,3,0
"Toño ","RSO",4,3,315,0,0,0,0,0,0
"Zurutuza ","RSO",31,26,2248,0,2,3,14,2,0
"Bakkali Zakaria ","DEP",23,10,906,0,0,6,25,5,0
"Cancelo Joao ",NA,1,1,90,0,0,2,4,0,0
"Domènech Jaume ","VAL",5,5,450,0,0,0,0,2,0
"Garay Ezequiel ","VAL",24,23,2030,0,0,1,6,5,0
"Gayà ","VAL",34,33,2917,0,3,3,14,11,0
"Gil Nacho ","LP",20,10,958,0,1,3,9,1,0
"Lato Toni ","VAL",16,9,798,0,1,0,1,4,0
"Montoya Martín ","VAL",25,24,2152,0,4,6,8,7,0
"Sivera Antonio ","ALA",1,1,63,0,0,0,0,0,0
"Asenjo Sergio ","VIL",23,23,2070,0,0,0,0,3,0
"Barbosa ","VIL",13,12,1125,0,0,0,0,0,0
"Bonera Daniele ","VIL",15,14,1190,0,1,0,2,4,1
"Costa Jaume ","VIL",30,29,2541,0,0,3,12,15,1
"Fernández Andrés ","VIL",3,3,225,0,0,0,0,0,0
"González Mario ","VIL",2,0,16,0,0,0,1,0,0
"Guerra Ramiro ","VIL",4,0,67,0,0,0,0,1,0
"Cote José Ángel ","EIB",30,28,2430,0,8,0,15,4,0
"Poveda Darío ","VIL",1,0,1,0,0,0,0,0,0
"Rukavina Antonio ","VIL",17,14,1269,0,0,0,2,5,0
"Soriano Roberto ","VIL",22,11,1135,0,0,6,20,3,0
"Suárez Leo ","VIL",1,0,28,0,0,0,1,0,0
"Torres Pau ","VIL",2,0,51,0,0,0,0,0,0
"Álvaro ","VIL",33,32,2899,0,2,3,15,15,1
"Adán ","BET",30,30,2700,0,2,0,0,4,0
"Alegría Álex ","LEV",9,8,632,0,0,2,15,0,0
"Bruno ","GET",20,17,1538,0,0,0,4,5,0
"Giménez Dani ","BET",4,4,309,0,0,0,0,0,0
"Leiva Nahuel ",NA,7,3,249,0,0,1,2,2,0
"López Pedro ","BET",5,4,411,0,0,0,0,0,0
"Navarro Rafa ","BET",3,1,133,0,0,1,1,0,0
"Pardo Rubén ","RSO",6,3,223,0,1,0,1,0,1
"Tosca Alin ",NA,6,5,424,0,0,0,2,0,0
"Carriço Daniel ","SEV",6,5,459,0,0,0,2,1,0
"Escudero Sergio ","SEV",27,26,2332,0,2,4,19,10,0
"Mercado Gabriel ","SEV",26,25,2122,0,1,7,18,9,0
"Montoya Walter ",NA,1,1,77,0,0,0,1,0,0
"Pareja Nico ","SEV",5,5,405,0,0,0,3,2,0
"Rico Sergio ","SEV",24,23,2155,0,0,0,0,2,0
"Soria David ","SEV",15,15,1265,0,0,0,0,1,0
"Fernández Augusto ",NA,5,1,105,0,0,0,1,1,0
"Gabi ","ATL",34,25,2346,0,1,1,10,8,0
"Gaitán Nico ",NA,6,1,216,0,0,3,6,0,0
"Godín Diego ","ATL",30,28,2554,0,0,4,13,6,0
"Juanfran ","ATL",17,15,1308,0,1,0,3,3,0
"Lucas ",NA,15,13,1182,0,1,0,2,3,0
"Moya Toni ","ATL",1,0,2,0,0,0,0,0,0
"Moyà ","RSO",9,9,765,0,0,0,0,0,0
"Oblak Jan ","ATL",37,37,3330,0,0,0,0,1,0
"Savic Stefan ","ATL",27,26,2299,0,0,1,3,6,0
"Vrsaljko Sime ","ATL",21,19,1697,0,4,0,3,7,0
"Arribas Sergio ","LGN",1,0,22,0,0,0,0,0,0
"Bueno Alberto ","MAG",11,1,217,0,0,2,6,0,0
"Champagne Nereo ","LGN",2,2,180,0,0,0,0,0,0
"García Samu ","MAG",18,4,358,0,1,1,4,2,1
"Herrerín Iago ","ATH",8,8,720,0,0,0,0,0,0
"Marín Adrián ","VIL",3,2,233,0,0,0,1,1,0
"Morán Erik ",NA,6,2,225,0,0,0,0,2,0
"Mozo Álex ","LGN",1,0,45,0,0,0,0,0,0
"Omar ","LGN",23,18,1457,0,1,2,9,3,0
