"X","Reviews"
251," Perhaps because Gunn was fired by Disney which has nothing to do with the Fantastic Beasts movies? <U+0001F914> I’m not sure why people keep needing to compare Gunn and Depp’s situations."
252,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
253,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
254,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character   "
255,"I liked a  video  FANTASTIC BEASTS 2 The Crimes of Grindelwald Trailer (2018)"
256,"I liked a  video  FANTASTIC BEASTS 2 Trailer 2 (2018)"
257,"L I S T E N am I excited as hell about Fantastic Beasts? Y E S

Am I currently cursing Depp to the pits of hell? A L S O, Y E S"
258,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
259,"Fantastic Beasts New Trailer Revealed at SDCC  via "
260,"FANTASTIC BEASTS 2 Trailer  2 (NEW 2018) The Crimes of Grindelwald, Har...  via "
261,"Why do they have ruin everything?
""Fantastic Beasts"" panel gets political at Comic-Con: 'Impeach Trump!'  via "
262,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
263,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer  via "
264,"Official Comic-Con Trailer For ‘Fantastic Beasts: The Crimes Of Grindelwald’

 "
265,"COMIC-CON 2018
 
Johnny's Depp's freak out at Comic Con: Wild-eyed star appears in blonde hair and gives a 'fascist' speech in character for Fantastic Beasts before vanishing when ex Amber Heard appears on stage "
266," I liked everything about the first FANTASTIC BEASTS save for when Colin Farrell morphs into Johnny Depp."
267,"The new trailer for Fantastic Beasts 2 is here and it's seriously dark  via "
268,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
269,"Yep, I love the trailer for Fantastic Beasts: The Crimes of Grindelwald too. It’s darker than the first, which is good. I like the Harry Potter universe most when it‘s at its darkest  via "
270,"Saw the cast of fantastic beasts and where to find them. I think the cast of LEGO movie is next. I hope I can see Chris Pratt xx"
271,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
